date,time,open_price,high_price,low_price,close_price
2023-03-20,04:45:00,27881.99,27898.16,27842.78,27851.45
2023-03-20,04:46:00,27854.84,27888.3,27834.87,27875.64
2023-03-20,04:47:00,27872.37,27908.63,27848.0,27861.35
2023-03-20,04:48:00,27863.99,27883.06,27832.95,27860.76
2023-03-20,04:49:00,27860.76,27906.94,27857.01,27886.47
2023-03-20,04:50:00,27887.53,27911.73,27866.65,27904.67
2023-03-20,04:51:00,27904.67,27915.87,27882.0,27889.4
2023-03-20,04:52:00,27885.15,27922.27,27870.11,27909.36
2023-03-20,04:53:00,27909.33,27940.71,27880.0,27897.91
2023-03-20,04:54:00,27892.91,27901.76,27854.55,27871.0
2023-03-20,04:55:00,27868.62,27891.88,27860.0,27870.45
2023-03-20,04:56:00,27868.24,27900.0,27860.0,27873.08
2023-03-20,04:57:00,27871.18,27893.16,27860.01,27870.4
2023-03-20,04:58:00,27868.72,27919.31,27860.68,27909.65
2023-03-20,04:59:00,27909.65,27916.5,27880.0,27889.22
2023-03-20,05:00:00,27887.19,27933.55,27868.0,27923.65
2023-03-20,05:01:00,27926.64,27974.09,27903.09,27969.36
2023-03-20,05:02:00,27969.36,27982.64,27938.15,27977.25
2023-03-20,05:03:00,27977.25,27992.29,27959.48,27977.0
2023-03-20,05:04:00,27978.72,28036.4,27974.7,28025.46
2023-03-20,05:05:00,28028.17,28088.23,28020.19,28049.73
2023-03-20,05:06:00,28049.73,28079.72,28017.3,28032.51
2023-03-20,05:07:00,28032.51,28089.64,28014.76,28079.24
2023-03-20,05:08:00,28080.67,28198.48,28079.24,28173.43
2023-03-20,05:09:00,28168.15,28215.8,28141.47,28160.29
2023-03-20,05:10:00,28160.29,28164.96,28085.8,28098.18
2023-03-20,05:11:00,28103.33,28145.0,28085.92,28113.69
2023-03-20,05:12:00,28111.29,28125.51,28084.54,28107.99
2023-03-20,05:13:00,28104.53,28110.03,28054.53,28093.58
2023-03-20,05:14:00,28093.58,28133.42,28092.38,28112.49
2023-03-20,05:15:00,28110.37,28119.7,28070.6,28108.73
2023-03-20,05:16:00,28108.46,28158.77,28103.71,28145.18
2023-03-20,05:17:00,28145.18,28195.31,28145.18,28156.1
2023-03-20,05:18:00,28156.1,28193.48,28128.78,28187.58
2023-03-20,05:19:00,28187.58,28216.92,28169.35,28209.9
2023-03-20,05:20:00,28209.9,28215.69,28156.74,28168.57
2023-03-20,05:21:00,28168.57,28172.78,28132.66,28145.93
2023-03-20,05:22:00,28148.48,28162.47,28113.54,28139.82
2023-03-20,05:23:00,28138.38,28158.54,28120.0,28124.14
2023-03-20,05:24:00,28124.14,28137.64,28108.33,28112.51
2023-03-20,05:25:00,28113.04,28128.5,28096.95,28109.88
2023-03-20,05:26:00,28109.88,28116.08,28080.0,28115.88
2023-03-20,05:27:00,28113.88,28120.0,28079.53,28088.4
2023-03-20,05:28:00,28089.93,28103.32,28077.0,28096.29
2023-03-20,05:29:00,28096.29,28117.05,28091.35,28107.22
2023-03-20,05:30:00,28107.22,28127.41,28081.0,28082.08
2023-03-20,05:31:00,28083.76,28113.24,28067.66,28111.17
2023-03-20,05:32:00,28111.17,28135.77,28110.97,28120.69
2023-03-20,05:33:00,28123.83,28125.0,28080.25,28103.03
2023-03-20,05:34:00,28102.41,28108.4,28082.42,28086.69
2023-03-20,05:35:00,28086.69,28098.82,28074.81,28082.33
2023-03-20,05:36:00,28080.68,28082.43,28010.0,28033.12
2023-03-20,05:37:00,28033.12,28035.32,27962.8,28011.85
